job,marital,education,default,housing,loan,contact,day,month,poutcome,hubo_contacto_?,age,balance_log,campaign_log,pdays_dias_transcurridos_log,previous_log,get_account_?
admin.,divorced,secondary,no,yes,no,cellular,16,jul,no_aporto_esta_informacion,no,27,8.233768709217097,0.6931471805599453,0.0,0.0,yes
retired,married,primary,no,no,no,cellular,26,aug,no_aporto_esta_informacion,no,60,8.107720061910534,1.0986122886681098,0.0,0.0,no
admin.,single,secondary,no,yes,yes,cellular,6,may,no_aporto_esta_informacion,no,28,8.158229916959494,0.6931471805599453,0.0,0.0,no
services,married,secondary,no,no,no,telephone,7,jul,failure,yes,52,8.287025025165063,1.0986122886681098,6.133398042996649,1.0986122886681098,yes
management,married,tertiary,no,no,no,cellular,30,jun,no_aporto_esta_informacion,no,37,8.440312147080279,0.6931471805599453,0.0,0.0,yes
blue-collar,married,primary,no,yes,no,no_aporto_esta_informacion,7,may,no_aporto_esta_informacion,no,51,8.472405008626103,1.0986122886681098,0.0,0.0,no
technician,single,secondary,no,no,yes,cellular,7,jul,no_aporto_esta_informacion,no,41,8.341410211461865,1.6094379124341005,0.0,0.0,no
blue-collar,single,primary,no,yes,no,no_aporto_esta_informacion,30,may,no_aporto_esta_informacion,no,35,8.190908881182514,1.0986122886681098,0.0,0.0,no
admin.,married,secondary,no,yes,no,cellular,17,apr,no_aporto_esta_informacion,no,38,8.226573474977114,0.6931471805599453,0.0,0.0,no
blue-collar,married,secondary,no,yes,no,no_aporto_esta_informacion,20,may,no_aporto_esta_informacion,no,34,8.545974992841689,1.0986122886681098,0.0,0.0,no
blue-collar,married,primary,no,no,no,cellular,18,nov,no_aporto_esta_informacion,no,39,8.139148678884066,1.0986122886681098,0.0,0.0,no
blue-collar,married,primary,no,yes,no,no_aporto_esta_informacion,20,jun,no_aporto_esta_informacion,no,34,8.234830280442056,1.3862943611198906,0.0,0.0,no
services,single,secondary,no,yes,no,cellular,18,may,no_aporto_esta_informacion,no,27,8.045588280803528,0.6931471805599453,0.0,0.0,yes
management,single,tertiary,no,no,no,cellular,14,aug,no_aporto_esta_informacion,no,32,8.843759381917984,1.0986122886681098,0.0,0.0,no
blue-collar,married,secondary,no,no,no,cellular,11,aug,no_aporto_esta_informacion,no,57,9.76468514965567,1.791759469228055,0.0,0.0,no
no_aporto_esta_informacion,single,tertiary,no,no,no,cellular,1,jul,no_aporto_esta_informacion,no,41,8.493310250952906,1.0986122886681098,0.0,0.0,no
admin.,married,tertiary,no,yes,no,no_aporto_esta_informacion,14,may,no_aporto_esta_informacion,no,41,9.075779878580487,1.0986122886681098,0.0,0.0,no
admin.,single,tertiary,no,no,no,cellular,19,oct,failure,yes,30,8.182000136293405,0.6931471805599453,4.927253685157205,3.044522437723423,no
blue-collar,divorced,secondary,no,no,no,cellular,12,feb,success,yes,36,8.725507328484445,0.6931471805599453,5.209486152841421,0.6931471805599453,no
unemployed,single,primary,no,no,no,cellular,4,feb,no_aporto_esta_informacion,no,31,8.221747728346623,0.6931471805599453,0.0,0.0,yes
blue-collar,married,secondary,no,yes,no,no_aporto_esta_informacion,6,may,no_aporto_esta_informacion,no,36,8.106212902619962,0.6931471805599453,0.0,0.0,no
management,single,tertiary,no,yes,no,cellular,11,may,failure,yes,38,8.244859395911256,0.6931471805599453,5.908082938168931,2.079441541679836,no
technician,married,secondary,no,no,no,telephone,21,nov,no_aporto_esta_informacion,no,49,9.138951775888527,1.0986122886681098,0.0,0.0,no
services,single,primary,no,yes,no,telephone,13,may,no_aporto_esta_informacion,no,57,8.866722667194098,1.0986122886681098,0.0,0.0,no
management,single,secondary,no,no,no,no_aporto_esta_informacion,13,aug,no_aporto_esta_informacion,no,34,8.252967195000798,0.6931471805599453,0.0,0.0,no
management,single,tertiary,no,yes,no,cellular,14,apr,failure,yes,32,8.265907334155747,1.0986122886681098,4.983606621708336,1.3862943611198906,no
blue-collar,married,secondary,no,yes,yes,no_aporto_esta_informacion,9,jun,no_aporto_esta_informacion,no,37,8.227375506834035,1.3862943611198906,0.0,0.0,no
self-employed,married,tertiary,no,yes,no,cellular,3,feb,no_aporto_esta_informacion,no,33,8.242229891372231,1.0986122886681098,0.0,0.0,no
unemployed,married,primary,no,no,no,cellular,21,apr,no_aporto_esta_informacion,no,56,8.810757927026174,0.6931471805599453,0.0,0.0,yes
housemaid,married,primary,no,yes,no,cellular,23,jul,no_aporto_esta_informacion,no,27,8.106212902619962,1.3862943611198906,0.0,0.0,no
student,single,secondary,no,no,no,cellular,30,jun,success,yes,21,8.666130304190608,1.9459101490553128,5.135798437050262,1.3862943611198906,yes
management,married,tertiary,no,yes,no,telephone,29,jul,no_aporto_esta_informacion,no,58,8.48301573961465,1.791759469228055,0.0,0.0,no
self-employed,married,secondary,no,yes,yes,cellular,15,jul,no_aporto_esta_informacion,no,32,8.16961956172385,1.791759469228055,0.0,0.0,no
blue-collar,single,secondary,no,no,no,cellular,30,jan,failure,yes,33,8.112827478751374,1.0986122886681098,5.337538079701318,0.6931471805599453,no
student,single,secondary,no,no,no,telephone,26,aug,no_aporto_esta_informacion,no,25,8.201385955238608,1.6094379124341005,0.0,0.0,yes
technician,single,secondary,no,no,yes,cellular,17,nov,no_aporto_esta_informacion,no,25,8.24800570160062,1.0986122886681098,0.0,0.0,yes
services,married,secondary,no,yes,no,cellular,18,may,no_aporto_esta_informacion,no,30,8.541495483939203,1.0986122886681098,0.0,0.0,no
admin.,single,secondary,no,no,yes,cellular,19,aug,no_aporto_esta_informacion,no,22,8.912742634737025,0.6931471805599453,0.0,0.0,no
blue-collar,married,primary,no,no,no,cellular,13,aug,no_aporto_esta_informacion,no,39,8.121777419161074,0.6931471805599453,0.0,0.0,no
management,divorced,tertiary,no,no,no,no_aporto_esta_informacion,17,jun,no_aporto_esta_informacion,no,46,8.113726085970747,1.0986122886681098,0.0,0.0,no
admin.,divorced,secondary,no,yes,no,cellular,21,jul,no_aporto_esta_informacion,no,31,8.557374981049069,0.6931471805599453,0.0,0.0,no
blue-collar,married,primary,no,no,no,cellular,18,aug,no_aporto_esta_informacion,no,45,8.225235324101668,1.6094379124341005,0.0,0.0,no
technician,married,secondary,no,yes,no,no_aporto_esta_informacion,21,may,no_aporto_esta_informacion,no,32,8.700847193443972,0.6931471805599453,0.0,0.0,no
blue-collar,married,secondary,no,no,yes,cellular,15,jul,no_aporto_esta_informacion,no,36,8.03398273468322,1.0986122886681098,0.0,0.0,no
management,single,tertiary,yes,yes,no,cellular,11,may,failure,yes,51,8.089482474360754,1.0986122886681098,5.58724865840025,1.9459101490553128,no
self-employed,single,tertiary,no,no,no,cellular,21,aug,no_aporto_esta_informacion,no,34,8.236685322712457,1.3862943611198906,0.0,0.0,yes
unemployed,single,secondary,no,no,no,no_aporto_esta_informacion,15,sep,no_aporto_esta_informacion,no,24,8.141481041457421,0.6931471805599453,0.0,0.0,no
technician,single,secondary,no,no,yes,cellular,28,jul,no_aporto_esta_informacion,no,45,8.268988209506656,1.3862943611198906,0.0,0.0,no
blue-collar,single,secondary,no,no,no,telephone,5,feb,failure,yes,32,8.172729104865471,0.6931471805599453,5.666426688112432,1.3862943611198906,no
retired,divorced,tertiary,no,no,no,cellular,14,apr,no_aporto_esta_informacion,no,77,8.983941527941301,0.6931471805599453,0.0,0.0,yes
blue-collar,married,primary,no,yes,no,cellular,18,nov,no_aporto_esta_informacion,no,41,8.155649270366002,1.3862943611198906,0.0,0.0,no
blue-collar,married,primary,no,yes,no,no_aporto_esta_informacion,26,may,no_aporto_esta_informacion,no,37,8.106212902619962,0.6931471805599453,0.0,0.0,no
blue-collar,married,no_aporto_esta_informacion,yes,yes,no,no_aporto_esta_informacion,30,may,no_aporto_esta_informacion,no,43,7.863266724009573,1.3862943611198906,0.0,0.0,no
admin.,married,no_aporto_esta_informacion,no,yes,no,cellular,8,may,failure,yes,48,8.106212902619962,0.6931471805599453,5.1298987149230735,1.0986122886681098,no
technician,single,secondary,no,yes,no,no_aporto_esta_informacion,9,may,no_aporto_esta_informacion,no,27,8.314832179284556,1.0986122886681098,0.0,0.0,no
management,single,tertiary,no,no,no,cellular,28,aug,no_aporto_esta_informacion,no,33,8.106212902619962,2.3978952727983707,0.0,0.0,no
admin.,single,secondary,no,yes,yes,cellular,7,may,failure,yes,29,8.22764270790443,0.6931471805599453,5.846438775057725,1.0986122886681098,no
management,single,tertiary,no,no,no,cellular,5,feb,no_aporto_esta_informacion,no,34,8.106212902619962,0.6931471805599453,0.0,0.0,no
management,married,tertiary,no,yes,no,cellular,4,feb,no_aporto_esta_informacion,no,52,7.76004068088038,0.6931471805599453,0.0,0.0,yes
management,married,no_aporto_esta_informacion,no,no,no,no_aporto_esta_informacion,19,jun,no_aporto_esta_informacion,no,60,9.172430798902962,1.0986122886681098,0.0,0.0,no
management,divorced,tertiary,no,no,no,cellular,12,aug,no_aporto_esta_informacion,no,32,8.35772841676521,1.0986122886681098,0.0,0.0,no
management,single,tertiary,no,yes,no,cellular,22,jul,no_aporto_esta_informacion,no,32,8.106212902619962,1.0986122886681098,0.0,0.0,no
services,divorced,no_aporto_esta_informacion,no,yes,no,no_aporto_esta_informacion,30,may,no_aporto_esta_informacion,no,56,8.554874258383926,0.6931471805599453,0.0,0.0,no
management,single,tertiary,no,yes,no,cellular,18,nov,no_aporto_esta_informacion,no,31,8.340217320947035,1.0986122886681098,0.0,0.0,no
admin.,married,secondary,no,yes,yes,no_aporto_esta_informacion,8,may,no_aporto_esta_informacion,no,42,8.199189359078067,1.0986122886681098,0.0,0.0,no
management,married,tertiary,no,no,yes,cellular,11,aug,no_aporto_esta_informacion,no,35,8.137688184977605,1.0986122886681098,0.0,0.0,no
retired,married,primary,no,no,yes,no_aporto_esta_informacion,19,jun,no_aporto_esta_informacion,no,56,8.560444233410552,2.302585092994046,0.0,0.0,no
technician,married,secondary,no,yes,no,cellular,21,jul,no_aporto_esta_informacion,no,48,8.404472321352118,1.791759469228055,0.0,0.0,no
admin.,married,secondary,no,yes,no,cellular,29,jan,otro_resultado,yes,46,8.158802490694002,1.6094379124341005,6.07993319509559,0.6931471805599453,no
technician,single,no_aporto_esta_informacion,no,yes,no,no_aporto_esta_informacion,8,may,no_aporto_esta_informacion,no,37,8.217708406845306,1.3862943611198906,0.0,0.0,no
entrepreneur,married,no_aporto_esta_informacion,no,yes,no,no_aporto_esta_informacion,6,may,no_aporto_esta_informacion,no,41,8.132706489693264,1.0986122886681098,0.0,0.0,no
management,single,tertiary,no,yes,yes,cellular,29,jul,no_aporto_esta_informacion,no,36,8.231376045573969,1.3862943611198906,0.0,0.0,no
unemployed,divorced,primary,yes,yes,yes,no_aporto_esta_informacion,1,jul,no_aporto_esta_informacion,no,45,8.028129059431759,0.6931471805599453,0.0,0.0,no
entrepreneur,married,secondary,no,no,no,cellular,6,feb,no_aporto_esta_informacion,no,55,9.343033913701648,1.0986122886681098,0.0,0.0,no
technician,married,secondary,no,no,no,no_aporto_esta_informacion,26,may,no_aporto_esta_informacion,no,39,8.246958032568177,0.6931471805599453,0.0,0.0,no
technician,divorced,secondary,no,no,no,cellular,22,aug,no_aporto_esta_informacion,no,35,8.195057690895077,1.0986122886681098,0.0,0.0,no
admin.,married,secondary,no,no,no,cellular,1,jun,success,yes,55,8.27308133366583,1.3862943611198906,4.51085950651685,1.0986122886681098,yes
technician,married,secondary,no,yes,no,cellular,29,jan,failure,yes,55,8.185350223178686,1.3862943611198906,5.214935757608986,1.3862943611198906,no
self-employed,single,secondary,no,no,no,cellular,29,jan,no_aporto_esta_informacion,no,27,8.121183242078828,0.6931471805599453,0.0,0.0,no
technician,married,secondary,no,yes,no,cellular,17,apr,no_aporto_esta_informacion,no,34,8.508354242749032,0.6931471805599453,0.0,0.0,no
blue-collar,married,tertiary,no,no,no,no_aporto_esta_informacion,4,oct,no_aporto_esta_informacion,no,34,8.112227958349724,0.6931471805599453,0.0,0.0,no
admin.,single,secondary,no,yes,no,no_aporto_esta_informacion,28,may,no_aporto_esta_informacion,no,25,8.975250749643573,1.0986122886681098,0.0,0.0,no
admin.,single,secondary,no,no,yes,no_aporto_esta_informacion,9,may,no_aporto_esta_informacion,no,41,8.025843344150903,1.3862943611198906,0.0,0.0,no
services,married,secondary,no,yes,yes,no_aporto_esta_informacion,26,may,no_aporto_esta_informacion,no,43,8.36474106822456,1.0986122886681098,0.0,0.0,no
management,single,tertiary,no,no,no,cellular,20,oct,failure,yes,28,8.130059039992796,1.0986122886681098,4.990432586778736,1.0986122886681098,yes
admin.,single,secondary,no,yes,no,no_aporto_esta_informacion,3,jun,no_aporto_esta_informacion,no,31,8.597666575566114,0.6931471805599453,0.0,0.0,no
housemaid,married,secondary,no,no,no,telephone,16,mar,no_aporto_esta_informacion,no,78,8.246433786160365,1.6094379124341005,0.0,0.0,no
blue-collar,divorced,secondary,no,yes,no,cellular,29,jan,no_aporto_esta_informacion,no,45,8.430327258394575,1.0986122886681098,0.0,0.0,no
technician,married,tertiary,no,no,no,no_aporto_esta_informacion,6,may,no_aporto_esta_informacion,no,48,8.195609567288775,0.6931471805599453,0.0,0.0,no
blue-collar,single,secondary,no,yes,yes,cellular,10,jul,no_aporto_esta_informacion,no,32,8.402455513945814,0.6931471805599453,0.0,0.0,no
technician,married,secondary,no,no,no,no_aporto_esta_informacion,20,jun,no_aporto_esta_informacion,no,42,8.747510946478448,1.3862943611198906,0.0,0.0,no
management,single,tertiary,no,no,no,cellular,28,jan,no_aporto_esta_informacion,no,37,8.117312461601975,1.0986122886681098,0.0,0.0,no
admin.,single,secondary,no,yes,yes,cellular,6,apr,otro_resultado,yes,40,8.236685322712457,0.6931471805599453,5.817111159963204,1.6094379124341005,no
admin.,married,secondary,no,yes,no,cellular,17,jul,no_aporto_esta_informacion,no,32,8.377011160816375,0.6931471805599453,0.0,0.0,no
management,married,tertiary,no,no,no,cellular,20,nov,no_aporto_esta_informacion,no,42,9.41930385971656,1.0986122886681098,0.0,0.0,no
admin.,married,secondary,no,yes,yes,cellular,23,jul,no_aporto_esta_informacion,no,43,7.955074273262696,0.6931471805599453,0.0,0.0,no
admin.,married,secondary,no,yes,yes,cellular,31,jul,no_aporto_esta_informacion,no,44,9.04735074348172,2.079441541679836,0.0,0.0,no
admin.,married,secondary,no,yes,no,cellular,5,may,failure,yes,37,8.157943507105037,1.0986122886681098,5.8522024797744745,0.6931471805599453,no
no_aporto_esta_informacion,married,no_aporto_esta_informacion,no,no,no,no_aporto_esta_informacion,9,jun,no_aporto_esta_informacion,no,37,8.519989278718239,0.6931471805599453,0.0,0.0,no
admin.,married,tertiary,no,yes,no,cellular,17,nov,failure,yes,37,8.106212902619962,1.0986122886681098,4.787491742782046,0.6931471805599453,no
technician,single,tertiary,no,yes,yes,cellular,2,feb,no_aporto_esta_informacion,no,28,8.156797046675651,1.0986122886681098,0.0,0.0,no
services,single,secondary,no,no,yes,cellular,11,jul,no_aporto_esta_informacion,no,32,8.106212902619962,1.0986122886681098,0.0,0.0,no
admin.,single,secondary,no,yes,no,cellular,15,may,no_aporto_esta_informacion,no,34,9.2393164802127,1.791759469228055,0.0,0.0,no
admin.,divorced,secondary,no,no,no,no_aporto_esta_informacion,11,jun,no_aporto_esta_informacion,no,40,8.108021221376747,0.6931471805599453,0.0,0.0,no
services,married,secondary,no,yes,no,no_aporto_esta_informacion,16,jun,no_aporto_esta_informacion,no,34,8.087332926473351,1.3862943611198906,0.0,0.0,no
self-employed,married,tertiary,no,yes,no,cellular,23,jul,no_aporto_esta_informacion,no,34,8.57300625623545,1.0986122886681098,0.0,0.0,no
admin.,married,tertiary,no,yes,no,telephone,19,nov,success,yes,34,8.346167594364134,1.3862943611198906,2.079441541679836,1.6094379124341005,no
services,single,secondary,no,yes,no,cellular,2,feb,otro_resultado,yes,37,8.112527763478637,0.6931471805599453,5.605802066295998,1.0986122886681098,no
technician,married,secondary,no,yes,no,cellular,8,may,failure,yes,36,8.11312710422178,1.0986122886681098,5.8522024797744745,0.6931471805599453,no
retired,married,secondary,no,yes,no,cellular,15,jun,no_aporto_esta_informacion,no,56,7.653969180478774,1.0986122886681098,0.0,0.0,yes
